genes,logFC,logCPM,F,PValue,FDR
augustus_masked-scaffold1481-size63985-abinit-gene-0.1,-3.19651029467567,7.51383329448476,545.900211107016,3.65878219077749e-11,2.24914881128221e-09
augustus_masked-scaffold115-size186799-abinit-gene-0.4,-2.93392906978866,8.7714907819271,545.248532658792,3.68387830059598e-11,2.24914881128221e-09
augustus_masked-scaffold529-size85478-abinit-gene-0.6,-2.11706972181243,7.49537237628242,544.81457140514,3.70070198888994e-11,2.24914881128221e-09
maker-scaffold3623-size6412-augustus-gene-0.2,4.15427160653715,4.98716613759076,544.724443624116,3.70420731445479e-11,2.24914881128221e-09
maker-scaffold1353-size45576-augustus-gene-0.10,-2.87137264722956,6.71915097031201,544.595195841178,3.70924091815658e-11,2.24914881128221e-09
maker-scaffold731-size47264-augustus-gene-0.19,3.59692126376574,6.12373473169698,542.560178633332,3.78956143954962e-11,2.27724585879152e-09
snap_masked-scaffold142-size401332-abinit-gene-0.24,-2.65544534645088,8.41595194295573,542.19096062768,3.80435161674317e-11,2.27724585879152e-09
maker-scaffold516-size104776-snap-gene-0.51,-3.59946987319632,7.81843930353073,540.900168471236,3.85659239326149e-11,2.28150661639797e-09
maker-scaffold2360-size9094-snap-gene-0.4,-3.26894146708316,7.90023025497967,540.808491012724,3.86033460474277e-11,2.28150661639797e-09
maker-scaffold1651-size20613-augustus-gene-0.2,-3.00804463943272,5.276074715496,540.192539482005,3.88558791038175e-11,2.28198867340533e-09
maker-scaffold774-size35106-augustus-gene-0.10,-3.15119087771069,8.27180178136871,539.515035060723,3.9135886106257e-11,2.28406815287642e-09
maker-scaffold2566-size35930-snap-gene-0.19,-2.85761777061429,7.53020910567008,537.46155435664,3.99991244012478e-11,2.30990854058599e-09
maker-scaffold215-size92894-augustus-gene-0.49,-3.21581071780946,8.48985530269063,537.28735285541,4.00733758379663e-11,2.30990854058599e-09
maker-scaffold162-size90734-augustus-gene-0.41,-1.98524030251096,8.33020861511479,533.320110497995,4.18088927291103e-11,2.38054677811603e-09
augustus_masked-scaffold182-size90750-abinit-gene-0.9,-2.04927840999149,8.06658501114207,533.085296376591,4.19143453822421e-11,2.38054677811603e-09
maker-scaffold1328-size34060-augustus-gene-0.14,4.18004551660396,8.20018529611194,532.754051268175,4.20636344387604e-11,2.38054677811603e-09
maker-scaffold619-size47927-augustus-gene-0.14,-3.05873292225438,7.96250584211624,532.041858702336,4.23867272869387e-11,2.38438108075562e-09
maker-scaffold35-size133594-snap-gene-1.30,-2.59084766094951,8.16388163823709,527.712148659473,4.44146884303182e-11,2.48349916504378e-09
maker-scaffold1786-size15651-augustus-gene-0.8,4.40059687263256,8.75232525867166,522.689291846611,4.69113737919572e-11,2.60749052660295e-09
